dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0091,91,strogatz_shearflow2,sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2,srbench1.0,srbench1.0/strogatz,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0092,92,strogatz_glider2,sim-datasets-data/srbench1.0/strogatz/strogatz_glider2,srbench1.0,srbench1.0/strogatz,strict,pysr,7,4,llmsr;pyoperon;pysr;tpsr,3,4,0
g0093,93,Nguyen-11,sim-datasets-data/nguyen/Nguyen-11,nguyen,nguyen,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0094,94,first_principles_planck,sim-datasets-data/srbench2025/firstprinciples/first_principles_planck,srbench2025,srbench2025/firstprinciples,strict,pysr,7,4,dso;llmsr;pysr;tpsr,3,4,0
g0095,95,strogatz_bacres2,sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2,srbench1.0,srbench1.0/strogatz,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0096,96,strogatz_predprey2,sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2,srbench1.0,srbench1.0/strogatz,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0097,97,Keijzer-1,sim-datasets-data/keijzer/Keijzer-1,keijzer,keijzer,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0098,98,strogatz_barmag1,sim-datasets-data/srbench1.0/strogatz/strogatz_barmag1,srbench1.0,srbench1.0/strogatz,strict,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0099,99,Keijzer-2,sim-datasets-data/keijzer/Keijzer-2,keijzer,keijzer,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0100,100,PO18,sim-datasets-data/llm-srbench/phys_osc/PO18,llm-srbench,llm-srbench/phys_osc,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0101,101,PO21,sim-datasets-data/llm-srbench/phys_osc/PO21,llm-srbench,llm-srbench/phys_osc,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0102,102,CRK23,sim-datasets-data/llm-srbench/chem_react/CRK23,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0103,103,BPG9,sim-datasets-data/llm-srbench/bio_pop_growth/BPG9,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,5,dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0104,104,PO27,sim-datasets-data/llm-srbench/phys_osc/PO27,llm-srbench,llm-srbench/phys_osc,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0105,105,BPG7,sim-datasets-data/llm-srbench/bio_pop_growth/BPG7,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0106,106,Korns-4,sim-datasets-data/korns/Korns-4,korns,korns,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0107,107,BPG16,sim-datasets-data/llm-srbench/bio_pop_growth/BPG16,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0108,108,BPG8,sim-datasets-data/llm-srbench/bio_pop_growth/BPG8,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0109,109,BPG0,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0110,110,CRK5,sim-datasets-data/llm-srbench/chem_react/CRK5,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0111,111,CRK16,sim-datasets-data/llm-srbench/chem_react/CRK16,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
